"","GSM2731543","GSM2731544","GSM2731545","GSM2731546","GSM2731547","GSM2731548","GSM2731549","GSM2731550","GSM2731551","GSM2731552","GSM2731553","GSM2731554","GSM2731555","GSM2731556","GSM2731557","GSM2731558","GSM2731559","GSM2731560","GSM2731561","GSM2731562","GSM2731563","GSM2731564","GSM2731565","GSM2731566","GSM2731567","GSM2731568","GSM2731569","GSM2731570","GSM2731571","GSM2731572","GSM2731573","GSM2731574","GSM2731575","GSM2731576","GSM2731577","GSM2731578","GSM2731579","GSM2731580","GSM2731581","GSM2731582","GSM2731583","GSM2731584","GSM2731585","GSM2731586","GSM2731587","GSM2731588","GSM2731589","GSM2731590","GSM2731591","GSM2731592","GSM2731593","GSM2731594","GSM2731595","GSM2731596","GSM2731597","GSM2731598","GSM2731599","GSM2731600","GSM2731601","GSM2731602","GSM2731603","GSM2731604","GSM2731605","GSM2731606","GSM2731607","GSM2731608","GSM2731609","GSM2731610","GSM2731611","GSM2731612","GSM2731613","GSM2731614","GSM2731615","GSM2731616","GSM2731617","GSM2731618","GSM2731619","GSM2731620","GSM2731621","GSM2731622","GSM2731623","GSM2731624","GSM2731625","GSM2731626","GSM2731627","GSM2731628","GSM2731629","GSM2731630","GSM2731631","GSM2731632","GSM2731633","GSM2731634","GSM2731635","GSM2731636","GSM2731637","GSM2731638","GSM2731639","GSM2731640","GSM2731641","GSM2731642"
"NPIPB9",16.683,15.53,16.45,16.792,16.358,17.236,16.7,15.681,16.028,15.902,16.659,16.358,16.547,15.751,16.157,15.751,16.128,15.351,16.674,17.187,16.629,16.518,16.871,16.25,16.497,16.629,16.328,15.953,16.841,15.613,16.659,15.609,16.21,15.276,15.979,15.261,16.575,15.539,16.309,15.638,16.45,15.701,16.736,15.445,16.841,16.103,16.56,15.246,16.727,15.836,16.322,15.969,16.709,16.456,16.765,15.876,15.974,15.716,16.345,15.761,16.553,16.482,16.431,15.864,16.709,16.186,16.511,16.05,16.871,15.902,16.525,16.345,16.425,16.525,16.444,16.279,16.718,15.991,16.783,16.939,16.476,15.969,16.256,15.761,16.683,15.492,16.582,16.291,17.2,15.876,16.525,16.525,16.882,15.285,16.469,16.606,16.403,16.009,16.56,16.892
"NPIPB8",16.683,15.53,16.45,16.792,16.358,17.236,16.7,15.681,16.028,15.902,16.659,16.358,16.547,15.751,16.157,15.751,16.128,15.351,16.674,17.187,16.629,16.518,16.871,16.25,16.497,16.629,16.328,15.953,16.841,15.613,16.659,15.609,16.21,15.276,15.979,15.261,16.575,15.539,16.309,15.638,16.45,15.701,16.736,15.445,16.841,16.103,16.56,15.246,16.727,15.836,16.322,15.969,16.709,16.456,16.765,15.876,15.974,15.716,16.345,15.761,16.553,16.482,16.431,15.864,16.709,16.186,16.511,16.05,16.871,15.902,16.525,16.345,16.425,16.525,16.444,16.279,16.718,15.991,16.783,16.939,16.476,15.969,16.256,15.761,16.683,15.492,16.582,16.291,17.2,15.876,16.525,16.525,16.882,15.285,16.469,16.606,16.403,16.009,16.56,16.892
"MAX",14.479,14.14,14.601,15.036,14.934,14.673,15.292,13.787,14.437,13.87,14.836,14.765,14.59,14.04,14.593,14.659,14.563,14.196,14.519,15.222,14.71,14.59,14.842,14.884,14.533,14.495,14.895,14.758,14.881,14.008,14.985,13.61,14.629,13.79,13.804,13.702,15.249,13.706,14.676,14.202,14.758,14.076,15.359,13.815,15.311,14.657,15.076,14.092,15.034,14.142,15.442,14.358,14.83,14.718,15.276,14.417,15.084,14.286,14.965,14.323,15.226,15.07,14.875,14.765,14.536,14.323,14.914,14.539,15.242,14.83,14.649,13.949,15.351,15.07,15.178,14.941,14.736,14.021,14.742,14.723,14.869,14.305,14.38,14.02,14.657,14.122,15.326,14.621,14.565,13.728,14.368,14.64,15.043,14.173,15.034,14.646,15.05,14.796,14.985,14.842
"RPL3",14.982,16.358,15.371,15.613,15.526,15.503,14.978,16.335,15.897,15.812,14.982,15.3,15.315,16.056,15.073,16.334,15.442,16.444,15.517,15.319,15.581,15.812,15.492,15.378,15.47,15.185,15.919,16.358,15.253,16.476,14.982,16.139,15.802,15.881,16.056,15.985,15.322,15.936,15.892,15.919,14.839,16.134,15.398,14.444,15.08,15.47,15.067,16.015,15.33,16.033,15.557,16.157,14.928,15.953,15.073,16.222,15.841,16.297,15.465,15.671,15.836,15.783,15.59,15.853,15.063,15.576,14.522,15.858,15.652,15.037,15.783,16.256,14.992,15.205,15.222,15.517,14.842,16.162,15.646,15.512,15.201,16.273,15.265,14.682,15.445,16.456,15.572,15.215,15.109,16.239,15.539,15.45,15.288,15.979,15.054,15.454,15.319,14.91,15.233,15.246
"FOXP1",15.47,15.958,14.503,15.148,15.178,15.394,15.06,16.098,15.208,15.897,14.996,14.257,15.359,15.807,15.254,15.783,15.595,15.979,14.969,15.385,15.539,15.215,15.398,14.969,14.727,15.218,15.487,15.802,15.105,16.239,15.513,16.122,15.671,16.482,15.997,16.613,15.721,16.334,16.003,16.351,15.742,16.015,15.914,15.858,15.623,16.109,15.164,16.297,16.045,16.335,15.16,15.272,15.897,15.948,15.807,16.378,16.015,16.18,15.881,16.315,16.139,15.727,16.098,16.351,15.848,15.985,16.062,16.045,15.675,16.062,14.031,15.727,15.265,16.328,15.858,15.701,15.304,16.061,15.875,15.902,15.374,16.028,15.483,16.108,15.3,16.079,15.095,15.412,15.836,15.902,15.691,15.675,15.802,16.482,15.737,16.222,15.892,15.897,16.009,16.039
"RPL35",14.792,15.5,14.492,14.693,14.472,14.854,14.303,15.416,15.304,15.595,14.511,14.533,14.802,15.557,14.221,15.027,14.497,15.424,14.917,14.314,14.347,14.422,14.433,14.485,14.928,14.392,14.924,15.201,14.525,15.517,14.718,15.246,14.895,14.888,15.098,14.851,14.44,14.866,14.663,14.941,13.916,15.16,14.274,14.295,13.944,14.422,13.925,15.208,14.415,14.901,14.827,15.304,14.144,14.586,13.96,14.746,14.492,15.095,14.204,15.131,14.624,14.417,14.328,14.629,14.38,15.222,14.407,14.699,15.095,14.743,14.771,15.246,14.277,14.323,14.459,14.268,14.061,15.105,14.965,14.513,14.299,15.067,14.301,13.768,14.702,15.367,14.802,14.325,15.01,15.175,14.67,14.449,14.034,15.137,13.865,14.16,13.937,13.796,14.102,14.333
"RPLP0P6",14.4,15.47,14.415,14.83,14.652,14.784,14.771,15.634,15.182,15.201,14.43,14.183,14.39,15.226,14.975,15.503,14.955,15.681,14.696,14.733,14.733,14.66,14.281,14.536,14.604,14.325,14.839,15.261,14.688,15.841,14.397,15.326,15.028,15.091,15.308,15.257,14.657,14.746,14.962,15.105,13.898,15.322,14.378,13.489,14.242,14.733,15.208,15.076,14.456,15.208,14.38,14.73,14.135,14.989,14.012,15.19,14.552,15.246,14.347,14.654,14.901,14.833,14.721,14.948,14.621,15.141,14.325,15.145,14.934,14.657,15.211,15.334,14.131,14.366,14.283,14.727,14.454,15.144,15.45,14.687,14.536,15.175,14.407,14.006,15.102,15.53,14.652,14.45,14.459,15.322,14.787,14.66,14.4,15.47,14.112,14.79,14.457,14.106,14.44,14.479
"RPLP0P10",14.4,15.47,14.415,14.83,14.652,14.784,14.771,15.634,15.182,15.201,14.43,14.183,14.39,15.226,14.975,15.503,14.955,15.681,14.696,14.733,14.733,14.66,14.281,14.536,14.604,14.325,14.839,15.261,14.688,15.841,14.397,15.326,15.028,15.091,15.308,15.257,14.657,14.746,14.962,15.105,13.898,15.322,14.378,13.489,14.242,14.733,15.208,15.076,14.456,15.208,14.38,14.73,14.135,14.989,14.012,15.19,14.552,15.246,14.347,14.654,14.901,14.833,14.721,14.948,14.621,15.141,14.325,15.145,14.934,14.657,15.211,15.334,14.131,14.366,14.283,14.727,14.454,15.144,15.45,14.687,14.536,15.175,14.407,14.006,15.102,15.53,14.652,14.45,14.459,15.322,14.787,14.66,14.4,15.47,14.112,14.79,14.457,14.106,14.44,14.479
"RPLP0",14.4,15.47,14.415,14.83,14.652,14.784,14.771,15.634,15.182,15.201,14.43,14.183,14.39,15.226,14.975,15.503,14.955,15.681,14.696,14.733,14.733,14.66,14.281,14.536,14.604,14.325,14.839,15.261,14.688,15.841,14.397,15.326,15.028,15.091,15.308,15.257,14.657,14.746,14.962,15.105,13.898,15.322,14.378,13.489,14.242,14.733,15.208,15.076,14.456,15.208,14.38,14.73,14.135,14.989,14.012,15.19,14.552,15.246,14.347,14.654,14.901,14.833,14.721,14.948,14.621,15.141,14.325,15.145,14.934,14.657,15.211,15.334,14.131,14.366,14.283,14.727,14.454,15.144,15.45,14.687,14.536,15.175,14.407,14.006,15.102,15.53,14.652,14.45,14.459,15.322,14.787,14.66,14.4,15.47,14.112,14.79,14.457,14.106,14.44,14.479
"RPL5",14.888,16.115,14.743,15.783,15.06,15.474,14.584,16.079,15.553,15.985,14.73,14.842,15.117,15.997,15.05,15.613,14.676,15.937,14.422,15.12,14.792,14.996,14.898,14.792,14.992,14.629,15.047,15.876,14.693,16.109,14.33,15.787,15.171,15.304,15.487,15.148,14.609,15.576,15.338,15.526,14.53,15.767,14.753,15.06,14.593,15.04,15.613,15.818,14.857,15.513,15.412,15.848,14.833,15.412,14.279,15.432,14.938,15.45,14.546,15.272,15.091,15.091,15.539,15.416,15.233,15.691,13.748,15.233,15.488,14.969,14.373,15.454,14.305,15.043,14.739,15.031,14.283,15.553,14.941,15.394,13.917,15.686,14.437,14.226,14.884,15.436,14.637,14.792,14.108,15.797,15.102,15.028,14.884,15.848,14.833,15.3,14.583,14.462,15.05,15.201
