"MatchID","PNI_Pos_Tumor","PNI_Neg_Tumor","PNI_Pos_Normal","PNI_Neg_Normal","AveExpr","F","P.Value","adj.P.Val","Symbol","Gene_Description"
"A_23_P339954",16.5366071428571,16.5314545454545,16.0076428571428,16.0449545454545,16.2792,37792.7512649194,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192080869923143,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163435209521938,"NPIPB9","nuclear pore complex interacting protein family member B9 [Source:HGNC Symbol;Acc:HGNC:41987]"
"A_23_P339954",16.5366071428571,16.5314545454545,16.0076428571428,16.0449545454545,16.2792,37792.7512649194,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192080869923143,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163435209521938,"NPIPB8","nuclear pore complex interacting protein family member B8 [Source:HGNC Symbol;Acc:HGNC:37490]"
"A_23_P151662",14.8179285714286,14.9094090909091,14.3056428571429,14.4810454545455,14.6205,33826.5222382539,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000539729777786036,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275542846155327,"MAX","MYC associated factor X [Source:HGNC Symbol;Acc:HGNC:6913]"
"A_23_P68942",15.3484285714286,15.3566818181818,15.7346071428571,15.8469545454545,15.56805,31940.0552906862,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000998781134577701,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028327652490256,"RPL3","ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]"
"A_33_P3214303",15.4765,15.5924090909091,15.92625,15.8889090909091,15.71866,29321.1691912915,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000773925207301149,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000151963191088993,"FOXP1","forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]"
"A_23_P112429",14.5581785714286,14.4019545454545,14.8181071428571,14.8365909090909,14.65784,29224.5331547775,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000915371055473039,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163666158001728,"RPL35","ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:10344]"
"A_23_P204472",14.6019642857143,14.6135909090909,14.8945714285714,14.9978181818182,14.77354,29196.1323087065,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000961761486337818,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163666158001728,"RPLP0P6","ribosomal protein lateral stalk subunit P0 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36404]"
"A_23_P204472",14.6019642857143,14.6135909090909,14.8945714285714,14.9978181818182,14.77354,29196.1323087065,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000961761486337818,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163666158001728,"RPLP0P10","ribosomal protein lateral stalk subunit P0 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:35991]"
"A_23_P204472",14.6019642857143,14.6135909090909,14.8945714285714,14.9978181818182,14.77354,29196.1323087065,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000961761486337818,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163666158001728,"RPLP0","ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]"
"A_23_P12140",14.75325,14.8917272727273,15.3395714285714,15.4746818181818,15.1066,29143.8426897135,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105354097585176,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168079293434951,"RPL5","ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]"
"A_33_P3270636",14.5145357142857,14.4633181818182,13.8661428571429,13.9818181818182,14.20452,28580.351441095,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000284304017201662,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000426890843711154,"SHISA5P2","SHISA5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54993]"
"A_32_P184518",14.3794285714286,14.3692727272727,14.7825357142857,14.9045,14.60558,28125.1816037158,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000643107679645343,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000820798331531352,"RPL21P80","ribosomal protein L21 pseudogene 80 [Source:HGNC Symbol;Acc:HGNC:35697]"
"A_33_P3223874",13.225,13.1962272727273,13.7813214285714,13.7823636363636,13.49706,28127.2172091636,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000640745517648519,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000820798331531352,"MSS51","MSS51 mitochondrial translational activator [Source:HGNC Symbol;Acc:HGNC:21000]"
"A_33_P3223874",13.225,13.1962272727273,13.7813214285714,13.7823636363636,13.49706,28127.2172091636,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000640745517648519,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000820798331531352,"RPL26P6","ribosomal protein L26 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:34023]"
"A_23_P97892",13.4389285714286,13.3820454545455,12.9339285714286,12.8935454545455,13.16503,27320.3766608532,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000281418794522842,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000312325919521307,"LDB1","LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]"
"A_24_P349466",13.6202142857143,13.8881363636364,13.0752857142857,13.1908181818182,13.43211,27181.3107125706,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000364783632476926,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037245868010424,"PRR13P5","proline rich 13 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:50618]"
"A_23_P360209",15.0850357142857,15.0202727272727,15.2860357142857,15.2567727272727,15.16485,27131.3227790286,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400571737445181,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000393269006539449,"MT-CO3","mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]"
"A_23_P360209",15.0850357142857,15.0202727272727,15.2860357142857,15.2567727272727,15.16485,27131.3227790286,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400571737445181,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000393269006539449,"MT-TR","mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]"
