"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","103/4011","155/9370",0.664516129032258,1.55236004214217,5.99889838247791,0.00000000188672294339224,0.000000664126476074069,0.000000409120975093475,"718/3688/11151/5878/10382/3684/715/4360/7278/60/3119/4688/7846/22925/529/245972/79659/7277/1781/3693/3120/2214/7059/949/4842/2204/5879/537/338382/84617/10333/3115/81035/3112/3117/3118/3113/3689/2213/3678/6891/203068/4481/200576/3105/3920/3108/3127/3685/9114/527/6890/2209/23480/9146/10381/2212/7097/9296/1514/4973/84790/1780/64581/81027/1520/1311/245973/30835/3135/3690/535/3123/821/1536/3126/9341/7099/10952/6441/3673/3109/3111/3133/3122/653361/7058/929/811/9103/948/3107/3106/55176/7879/9902/4689/347688/1535/8417/3134/528/51382",103
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","177/4011","299/9370",0.591973244147157,1.38289436491121,5.82127421477005,0.00000000516241419935892,0.000000708942563200933,0.000000436728971349857,"5376/28964/81/10109/3932/3688/87/5336/10382/22829/57180/3786/3684/10092/7278/2037/9046/60/2244/7846/50855/4356/5817/4638/9353/4067/2266/1445/7277/2036/10000/914/5777/106821730/5601/3556/22865/5921/7430/23380/10095/288/5962/3683/4629/57555/5819/6709/10398/5879/57689/84617/4690/5908/1499/2260/8500/3937/5362/6714/84063/3689/22999/5063/8832/3678/2243/10097/203068/7409/8828/8777/8499/92154/94030/91768/7204/10225/10627/90952/2534/4868/219699/1796/5361/25/3635/10458/54413/8655/84189/387/8633/51678/4478/10381/6091/940/56924/23085/10094/5829/84790/120425/4068/10093/57524/81027/4897/8573/5295/81873/30835/10298/3690/50848/941/57823/56288/2885/4627/114836/7414/382/342035/4637/5293/10552/9223/91584/7410/83700/5578/8829/23607/962/80852/3737/103910/150084/3687/1000/4133/5062/55243/3676/4628/81607/4685/6300/6711/23114/653857/4301/78999/4008/57502/5058/5584/5802/3785/5906/11141/6504/253559/4684/9901/4359/9564/347688/8976/5600/55558/10666/8826/57863/351",177
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","143/4011","233/9370",0.613733905579399,1.43372891929169,5.79996803562457,0.00000000604212411818977,0.000000708942563200933,0.000000436728971349857,"3688/84665/2274/27295/7111/2275/79188/29765/832/4607/4604/60/2023/1829/7171/2199/9260/1462/23353/477/3694/85301/7431/4633/81624/22795/3693/7134/6382/7059/271/288/8082/1284/22801/4629/6709/3655/10398/7169/64423/825/5339/3680/7791/4636/4001/9172/1292/1290/633/375790/91977/4000/3678/4624/91010/72/1299/6445/2192/1824/1287/1298/4619/3728/3685/127294/3675/50509/29895/481/1634/1282/29766/84823/483/7273/1465/255631/9672/3695/93661/6641/8736/284217/64236/1756/7094/2026/1311/1278/4625/272/829/3690/6640/2335/1837/752/4627/7414/2318/1281/10611/3673/114793/1291/171024/6444/11155/23224/1293/4703/3676/7058/4628/8572/1729/10529/6711/1301/8515/57159/4811/6645/478/25802/7139/1277/3339/23345/7168/2200/3672/6443/118461/343263/3691/7140/476/7138/1289",143
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","140/4011","232/9370",0.603448275862069,1.40970090870795,5.46658889445489,0.000000040272623795521,0.00000354399089400585,0.00000218320013207298,"28964/81/7852/10109/3688/87/57180/3684/10092/3071/6093/60/4638/1129/54961/3694/1950/85477/10000/79837/4633/81624/106821730/3693/8936/7430/3630/4660/10095/6387/5962/57121/4659/22801/3683/4629/3655/10398/2246/2149/730/5879/3984/81553/5880/3680/50649/2934/4636/5156/2260/3845/6714/8874/5499/3689/23396/2846/5063/3678/10097/2255/7409/221178/6237/85464/200576/1131/55845/9965/8822/54434/51571/10627/3685/3675/56034/29895/10458/4893/387/324/727/4478/3695/2264/729/80310/7114/10672/56924/10094/5829/9138/10093/9459/8396/5295/81873/10298/3690/2335/4627/7414/5293/6548/10552/10163/7410/22808/1399/2768/3673/103910/3687/10788/5062/3676/4628/1729/8395/9475/733/8515/653857/5058/128239/2254/1956/3672/1132/9564/5154/3691/7074/5305/55970/26281/8976/8826",140
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","70/4011","103/9370",0.679611650485437,1.58762432437012,5.18775989754034,0.00000019659399897352,0.0000138402175277358,0.00000852597132390424,"1306/5547/1305/136227/5646/1294/477/5222/643834/643847/85301/1307/486/1357/10136/23436/1284/80781/1300/1303/7373/6505/10008/6550/1292/1358/3769/1290/1310/5644/1299/440387/1504/1287/1298/63036/1308/51032/50509/481/1282/1360/3783/483/1295/255631/9056/6546/4224/6519/1278/1296/1506/1281/1291/169044/1293/340267/206358/1301/478/1803/1277/117247/23428/6543/476/57642/1289/285641",70
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","112/4011","184/9370",0.608695652173913,1.42195917747932,5.00088882691393,0.000000490044005223536,0.0000287492483064474,0.0000177103622940436,"7852/25791/3688/7223/8482/5336/2043/54910/54437/6093/50855/9353/817/2051/2242/1969/54961/2041/106821730/10505/2047/1946/2042/5921/23380/6387/59277/10501/10398/5879/3984/5880/64218/57689/4690/22885/10512/4636/3845/5362/6714/1945/5063/7976/4233/6237/85464/56896/10154/54434/10627/818/2534/5590/219699/27289/5361/25/4893/655/387/8633/6608/6091/1020/4773/2049/10509/80031/125467750/1944/5535/56924/10371/57556/10507/7220/5295/10298/56288/1948/1947/5998/1808/5530/5293/91584/5578/8829/5532/223117/103910/2050/5062/22854/5727/4776/9475/815/10500/5058/23654/7474/9901/2048/54361/151449/2046/5365/55558/2773/2771",112
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","72/4011","109/9370",0.660550458715596,1.54309593571806,4.93391804732967,0.000000731465965063649,0.00002998287664317,0.0000184703127646322,"3932/5970/2353/10148/3559/3566/3119/7297/3561/3458/50943/8517/5601/112744/3556/3120/6776/5914/3662/196/7040/6258/3115/6095/3460/4790/4794/3112/3117/3118/3113/3718/3605/919/3594/916/3108/149233/27040/3127/6778/3569/3459/4773/917/3551/5535/7535/3554/3560/50615/6772/861/3123/3126/5530/3091/5532/3109/3111/3122/3572/6300/3570/3725/7046/2625/915/6097/5600/3320/3717",72
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","48/4011","66/9370",0.727272727272727,1.69896421205322,4.92972994265831,0.000000756938289705123,0.00002998287664317,0.0000184703127646322,"5970/3606/3566/3119/3561/3458/50943/112744/3120/7040/3115/6095/3460/4790/3112/3117/3118/3113/3605/4094/3594/64127/3108/149233/3127/6778/3569/3595/3552/3459/7100/7043/7097/8809/3567/50615/6772/3123/3126/7042/7099/3109/3111/3122/8807/3725/2625/6097",48
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","90/4011","143/9370",0.629370629370629,1.4702574911999,4.90235269526245,0.000000832048123149778,0.00002998287664317,0.0000184703127646322,"718/81/87/8350/715/714/55506/8352/3119/713/1511/85236/8349/2904/3458/8334/3120/2214/55766/730/3020/716/3115/3112/8968/8363/8362/3117/3118/3113/723790/8337/255626/8361/8332/121504/8367/8355/720/100293534/721/3108/3013/8370/554313/3127/6737/958/3012/2209/9555/8353/727/85235/2212/940/729/8358/8356/3017/8351/8330/712/8369/941/3123/3126/3014/8969/8336/717/2903/3109/3111/3122/286436/8341/8343/440689/440686/733/8357/8344/8331/8359/8368/8329/6634/3021/8360",90
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","122/4011","205/9370",0.595121951219512,1.39024998327769,4.88747626047885,0.000000851786268271875,0.00002998287664317,0.0000184703127646322,"5970/5336/930/8819/5706/3119/695/7297/578/4067/6502/8517/10000/7431/10213/5601/3120/4791/4939/5925/3683/5608/5717/581/898/5707/3455/956/5879/4609/1647/3115/6892/4790/4794/3112/3117/3118/3113/3718/919/11317/896/4615/317/6891/7187/567/1871/3105/1870/916/3108/7979/29110/3127/55080/6885/864/1643/8717/958/890/6890/355/4938/10379/3280/11047/3569/3654/1869/9636/8772/9641/836/7097/6850/917/10912/10018/3551/841/1021/637/4616/6772/894/5295/5606/3627/3135/4940/3123/3126/3665/5293/1026/4734/3109/3111/3133/3122/965/6773/953/5610/6300/1380/811/7157/3725/3661/3107/3106/29760/5708/915/3134/5600/23586/7186",122
