"MatchID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Gene_Description","SPOT_ID","logFC_Tumor_vs_Normal_Pos","adjP_Tumor_vs_Normal_Pos","B_Tumor_vs_Normal_Pos"
"A_23_P132826",-4.34942857142857,9.88987,-4.7074912074222,0.0000079376538293938,0.0000562293055692724,3.33012602652797,"SERPINI2","serpin family I member 2 [Source:HGNC Symbol;Acc:HGNC:8945]","A_23_P132826",-4.34942857142857,0.0000562293055692724,3.33012602652797
"A_24_P90900",-4.29785714285714,10.89806,-4.8265444602421,0.00000489917804776626,0.0000388736148110915,3.78793115763402,"CTRL","chymotrypsin like [Source:HGNC Symbol;Acc:HGNC:2524]","A_24_P90900",-4.29785714285714,0.0000388736148110915,3.78793115763402
"A_23_P2414",-4.13067857142857,8.73575,-5.39056072365364,0.00000045654244002715,0.00000638559031459344,6.04847960003753,"SPX","spexin hormone [Source:HGNC Symbol;Acc:HGNC:28139]","A_23_P2414",-4.13067857142857,0.00000638559031459344,6.04847960003753
"A_23_P257834",-4.12917857142857,9.53091,-4.25014654406874,0.000047434474852648,0.000224124884113097,1.64136501896371,"ALB","albumin [Source:HGNC Symbol;Acc:HGNC:399]","A_23_P257834",-4.12917857142857,0.000224124884113097,1.64136501896371
"A_23_P46238",-3.95557142857142,13.29231,-4.24904321732697,0.0000476331640890993,0.000224955438767502,1.63743213172912,"CELA2A","chymotrypsin like elastase 2A [Source:HGNC Symbol;Acc:HGNC:24609]","A_23_P46238",-3.95557142857142,0.000224955438767502,1.63743213172912
"A_23_P46879",-3.92542857142857,12.74366,-4.51435136932752,0.0000171107128497651,0.000101103716713681,2.60303506506605,"PNLIP","pancreatic lipase [Source:HGNC Symbol;Acc:HGNC:9155]","A_23_P46879",-3.92542857142857,0.000101103716713681,2.60303506506605
"A_33_P3254331",-3.90367857142857,11.85666,-4.42570588125677,0.0000241892332989423,0.000132089267409206,2.27602746102591,"CTRC","chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523]","A_33_P3254331",-3.90367857142857,0.000132089267409206,2.27602746102591
"A_23_P51711",-3.88767857142856,12.96563,-4.23563583192675,0.0000501124838938565,0.000233510635975645,1.58969707474714,"CELA2B","chymotrypsin like elastase 2B [Source:HGNC Symbol;Acc:HGNC:29995]","A_23_P51711",-3.88767857142856,0.000233510635975645,1.58969707474714
"A_33_P3365193",-3.87510714285713,12.28713,-5.45128939193876,0.000000350789484914631,0.00000524253652923354,6.30024725151047,"AMY1A","amylase alpha 1A [Source:HGNC Symbol;Acc:HGNC:474]","A_33_P3365193",-3.87510714285713,0.00000524253652923354,6.30024725151047
"A_33_P3365193",-3.87510714285713,12.28713,-5.45128939193876,0.000000350789484914631,0.00000524253652923354,6.30024725151047,"AMY1C","amylase alpha 1C [Source:HGNC Symbol;Acc:HGNC:476]","A_33_P3365193",-3.87510714285713,0.00000524253652923354,6.30024725151047
"A_33_P3365193",-3.87510714285713,12.28713,-5.45128939193876,0.000000350789484914631,0.00000524253652923354,6.30024725151047,"AMY1B","amylase alpha 1B [Source:HGNC Symbol;Acc:HGNC:475]","A_33_P3365193",-3.87510714285713,0.00000524253652923354,6.30024725151047
"A_23_P8142",-3.87167857142856,13.44856,-4.60940452887848,0.0000117519337687203,0.0000762143956759031,2.9584089716741,"CLPS","colipase [Source:HGNC Symbol;Acc:HGNC:2085]","A_23_P8142",-3.87167857142856,0.0000762143956759031,2.9584089716741
"A_33_P3219303",-3.76782142857142,12.62353,-4.49410024945647,0.0000185255738522125,0.000107669352948902,2.52795100350189,"CEL","carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]","A_33_P3219303",-3.76782142857142,0.000107669352948902,2.52795100350189
"A_23_P24083",-3.76721428571428,10.63254,-4.14624287329166,0.0000701093099545578,0.000304562669486052,1.27411972205069,"PNLIPRP2","pancreatic lipase related protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:9157]","A_23_P24083",-3.76721428571428,0.000304562669486052,1.27411972205069
"A_23_P47058",-3.75778571428571,11.28616,-4.07778685707182,0.0000903947210617173,0.000372837564180864,1.03566646543264,"CUZD1","CUB and zona pellucida like domains 1 [Source:HGNC Symbol;Acc:HGNC:17937]","A_23_P47058",-3.75778571428571,0.000372837564180864,1.03566646543264
"A_24_P190007",-3.66724999999999,12.10324,-3.83824253765798,0.00021535410747916,0.000739060089743618,0.22390275680342,"GP2","glycoprotein 2 [Source:HGNC Symbol;Acc:HGNC:4441]","A_24_P190007",-3.66724999999999,0.000739060089743618,0.22390275680342
"A_33_P3376872",-3.66292857142857,12.85089,-4.06899447122797,0.0000933760038829741,0.000382586817835762,1.00524453259723,"CELA3B","chymotrypsin like elastase 3B [Source:HGNC Symbol;Acc:HGNC:15945]","A_33_P3376872",-3.66292857142857,0.000382586817835762,1.00524453259723
"A_23_P93141",-3.62057142857143,9.13386,-5.3283739118461,0.000000597036167331006,0.00000779536839247635,5.79226468179707,"GSTA5","glutathione S-transferase alpha 5 [Source:HGNC Symbol;Acc:HGNC:19662]","A_23_P93141",-3.62057142857143,0.00000779536839247635,5.79226468179707
"A_33_P3354646",-3.59421428571428,12.88004,-4.33356840736231,0.000034515083132026,0.000175190298673314,1.94076028451983,"PNLIPRP1","pancreatic lipase related protein 1 [Source:HGNC Symbol;Acc:HGNC:9156]","A_33_P3354646",-3.59421428571428,0.000175190298673314,1.94076028451983
"A_33_P3293785",-3.58803571428571,10.14499,-5.13121748892235,0.00000138302698472369,0.0000144625755067829,4.9910271236434,"KRTAP10-3","keratin associated protein 10-3 [Source:HGNC Symbol;Acc:HGNC:22968]","A_33_P3293785",-3.58803571428571,0.0000144625755067829,4.9910271236434
"A_23_P31161",-3.48425,13.50079,-3.93471941289876,0.000152425555685812,0.00056536104830515,0.546535197138299,"CPA2","carboxypeptidase A2 [Source:HGNC Symbol;Acc:HGNC:2297]","A_23_P31161",-3.48425,0.00056536104830515,0.546535197138299
"A_23_P96501",-3.41996428571428,6.77832,-4.88497504841588,0.00000385657593739519,0.0000321603400762997,4.01521099982811,"TEX11","testis expressed 11 [Source:HGNC Symbol;Acc:HGNC:11733]","A_23_P96501",-3.41996428571428,0.0000321603400762997,4.01521099982811
"A_24_P39928",-3.36274999999999,12.90128,-5.2095637402138,0.000000992438526969942,0.0000112997886721345,5.30737093266786,"SYCN","syncollin [Source:HGNC Symbol;Acc:HGNC:18442]","A_24_P39928",-3.36274999999999,0.0000112997886721345,5.30737093266786
"A_32_P234926",-3.36164285714285,6.77467,-4.84393428486295,0.00000456317513162943,0.0000367907796620256,3.85539701109537,"BANF2","BANF family member 2 [Source:HGNC Symbol;Acc:HGNC:16172]","A_32_P234926",-3.36164285714285,0.0000367907796620256,3.85539701109537
"A_23_P142856",-3.3525,7.81087,-4.94270263515763,0.00000303987768947374,0.0000265830482704716,4.24139477056147,"AQP12B","aquaporin 12B [Source:HGNC Symbol;Acc:HGNC:6096]","A_23_P142856",-3.3525,0.0000265830482704716,4.24139477056147
"A_23_P142856",-3.3525,7.81087,-4.94270263515763,0.00000303987768947374,0.0000265830482704716,4.24139477056147,"AQP12A","aquaporin 12A [Source:HGNC Symbol;Acc:HGNC:19941]","A_23_P142856",-3.3525,0.0000265830482704716,4.24139477056147
