"MatchID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Gene_Description","SPOT_ID","logFC_Tumor_vs_Normal_Neg","adjP_Tumor_vs_Normal_Neg","B_Tumor_vs_Normal_Neg"
"A_23_P257834",-4.25118181818182,9.53091,-3.87866475835695,0.000186447410379441,0.00124035876918051,0.44661481581427,"ALB","albumin [Source:HGNC Symbol;Acc:HGNC:399]","A_23_P257834",-4.25118181818182,0.00124035876918051,0.44661481581427
"A_23_P2414",-3.85518181818182,8.73575,-4.4595365814579,0.0000212055329362746,0.000258127054712134,2.47500270606622,"SPX","spexin hormone [Source:HGNC Symbol;Acc:HGNC:28139]","A_23_P2414",-3.85518181818182,0.000258127054712134,2.47500270606622
"A_23_P132826",-3.77604545454546,9.88987,-3.62265396866877,0.000456851435837574,0.00239950406403085,-0.381684610678032,"SERPINI2","serpin family I member 2 [Source:HGNC Symbol;Acc:HGNC:8945]","A_23_P132826",-3.77604545454546,0.00239950406403085,-0.381684610678032
"A_24_P90900",-3.65572727272727,10.89806,-3.63907032776427,0.000431856210220088,0.00230377463366311,-0.329854766763933,"CTRL","chymotrypsin like [Source:HGNC Symbol;Acc:HGNC:2524]","A_24_P90900",-3.65572727272727,0.00230377463366311,-0.329854766763933
"A_23_P46238",-3.31768181818182,13.29231,-3.15899526206662,0.00208455252608571,0.0074545093556828,-1.76908841581454,"CELA2A","chymotrypsin like elastase 2A [Source:HGNC Symbol;Acc:HGNC:24609]","A_23_P46238",-3.31768181818182,0.0074545093556828,-1.76908841581454
"A_23_P24083",-3.30572727272727,10.63254,-3.22503000256197,0.00169379246322184,0.0063535262918737,-1.58076797087616,"PNLIPRP2","pancreatic lipase related protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:9157]","A_23_P24083",-3.30572727272727,0.0063535262918737,-1.58076797087616
"A_23_P139687",-3.30290909090909,11.46391,-4.05651526376679,0.0000977696159009527,0.000777299087045548,1.04644280771922,"ERP27","endoplasmic reticulum protein 27 [Source:HGNC Symbol;Acc:HGNC:26495]","A_23_P139687",-3.30290909090909,0.000777299087045548,1.04644280771922
"A_23_P142856",-3.29168181818182,7.81087,-4.30175695853286,0.0000389814015581927,0.000403503348002607,1.90467446492559,"AQP12A","aquaporin 12A [Source:HGNC Symbol;Acc:HGNC:19941]","A_23_P142856",-3.29168181818182,0.000403503348002607,1.90467446492559
"A_23_P142856",-3.29168181818182,7.81087,-4.30175695853286,0.0000389814015581927,0.000403503348002607,1.90467446492559,"AQP12B","aquaporin 12B [Source:HGNC Symbol;Acc:HGNC:6096]","A_23_P142856",-3.29168181818182,0.000403503348002607,1.90467446492559
"A_33_P3365193",-3.28136363636364,12.28713,-4.09168515919727,0.0000858674233454797,0.000708649158847952,1.16734359471584,"AMY1C","amylase alpha 1C [Source:HGNC Symbol;Acc:HGNC:476]","A_33_P3365193",-3.28136363636364,0.000708649158847952,1.16734359471584
"A_33_P3365193",-3.28136363636364,12.28713,-4.09168515919727,0.0000858674233454797,0.000708649158847952,1.16734359471584,"AMY1A","amylase alpha 1A [Source:HGNC Symbol;Acc:HGNC:474]","A_33_P3365193",-3.28136363636364,0.000708649158847952,1.16734359471584
"A_33_P3365193",-3.28136363636364,12.28713,-4.09168515919727,0.0000858674233454797,0.000708649158847952,1.16734359471584,"AMY1B","amylase alpha 1B [Source:HGNC Symbol;Acc:HGNC:475]","A_33_P3365193",-3.28136363636364,0.000708649158847952,1.16734359471584
"A_23_P46879",-3.24636363636364,12.74366,-3.3093124216859,0.00129407765543524,0.00520772918692099,-1.3358403075779,"PNLIP","pancreatic lipase [Source:HGNC Symbol;Acc:HGNC:9155]","A_23_P46879",-3.24636363636364,0.00520772918692099,-1.3358403075779
"A_33_P3254331",-3.24468181818182,11.85666,-3.26071572521689,0.00151221598711075,0.00583711254906834,-1.47768519564507,"CTRC","chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523]","A_33_P3254331",-3.24468181818182,0.00583711254906834,-1.47768519564507
"A_23_P47058",-3.20754545454546,11.28616,-3.08530181744685,0.00261885904627981,0.0088063490996362,-1.97548469568902,"CUZD1","CUB and zona pellucida like domains 1 [Source:HGNC Symbol;Acc:HGNC:17937]","A_23_P47058",-3.20754545454546,0.0088063490996362,-1.97548469568902
