"MatchID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Gene_Description","SPOT_ID","logFC_Extreme_Contrast","adjP_Extreme_Contrast","B_Extreme_Contrast"
"A_24_P90900",-4.26215584415584,10.89806,-4.49008949022048,0.0000188189030685773,0.000167318467338385,2.56605207878035,"CTRL","chymotrypsin like [Source:HGNC Symbol;Acc:HGNC:2524]","A_24_P90900",-4.26215584415584,0.000167318467338385,2.56605207878035
"A_23_P132826",-4.15513636363636,9.88987,-4.21875137415918,0.0000534117299413506,0.000360532629798128,1.58708812990111,"SERPINI2","serpin family I member 2 [Source:HGNC Symbol;Acc:HGNC:8945]","A_23_P132826",-4.15513636363636,0.000360532629798128,1.58708812990111
"A_23_P2414",-3.9725974025974,8.73575,-4.86327055837727,0.00000421584916612621,0.0000559019083728575,3.9770261497127,"SPX","spexin hormone [Source:HGNC Symbol;Acc:HGNC:28139]","A_23_P2414",-3.9725974025974,0.0000559019083728575,3.9770261497127
"A_23_P257834",-3.88319805194805,9.53091,-3.74948065277626,0.000294521905332585,0.00129709560999302,-0.00332249617953462,"ALB","albumin [Source:HGNC Symbol;Acc:HGNC:399]","A_23_P257834",-3.88319805194805,0.00129709560999302,-0.00332249617953462
"A_23_P46238",-3.73789935064935,13.29231,-3.76661174446385,0.000277355671328645,0.0012405433443727,0.052312494984279,"CELA2A","chymotrypsin like elastase 2A [Source:HGNC Symbol;Acc:HGNC:24609]","A_23_P46238",-3.73789935064935,0.0012405433443727,0.052312494984279
"A_23_P46879",-3.71247727272728,12.74366,-4.00510051007731,0.000118050556255572,0.000658244196748577,0.84622430507572,"PNLIP","pancreatic lipase [Source:HGNC Symbol;Acc:HGNC:9155]","A_23_P46879",-3.71247727272728,0.000658244196748577,0.84622430507572
"A_33_P3365193",-3.70868506493506,12.28713,-4.89414480219019,0.00000371390188450048,0.0000508316672942409,4.09690607470759,"AMY1C","amylase alpha 1C [Source:HGNC Symbol;Acc:HGNC:476]","A_33_P3365193",-3.70868506493506,0.0000508316672942409,4.09690607470759
"A_33_P3365193",-3.70868506493506,12.28713,-4.89414480219019,0.00000371390188450048,0.0000508316672942409,4.09690607470759,"AMY1B","amylase alpha 1B [Source:HGNC Symbol;Acc:HGNC:475]","A_33_P3365193",-3.70868506493506,0.0000508316672942409,4.09690607470759
"A_33_P3365193",-3.70868506493506,12.28713,-4.89414480219019,0.00000371390188450048,0.0000508316672942409,4.09690607470759,"AMY1A","amylase alpha 1A [Source:HGNC Symbol;Acc:HGNC:474]","A_33_P3365193",-3.70868506493506,0.0000508316672942409,4.09690607470759
"A_23_P8142",-3.68809090909091,13.44856,-4.1189686173996,0.0000776042237336408,0.000479410797440686,1.23768902741522,"CLPS","colipase [Source:HGNC Symbol;Acc:HGNC:2085]","A_23_P8142",-3.68809090909091,0.000479410797440686,1.23768902741522
"A_33_P3293785",-3.64281818181818,10.14499,-4.88700177965398,0.00000382458981771444,0.0000520674558330554,4.06912967233684,"KRTAP10-3","keratin associated protein 10-3 [Source:HGNC Symbol;Acc:HGNC:22968]","A_33_P3293785",-3.64281818181818,0.0000520674558330554,4.06912967233684
"A_23_P51711",-3.63941558441558,12.96563,-3.71964291204573,0.000326857113119542,0.00140649943855183,-0.0997681353354132,"CELA2B","chymotrypsin like elastase 2B [Source:HGNC Symbol;Acc:HGNC:29995]","A_23_P51711",-3.63941558441558,0.00140649943855183,-0.0997681353354132
"A_23_P47058",-3.6320551948052,11.28616,-3.6973135847785,0.000353231564375829,0.00149256562030416,-0.171563499762065,"CUZD1","CUB and zona pellucida like domains 1 [Source:HGNC Symbol;Acc:HGNC:17937]","A_23_P47058",-3.6320551948052,0.00149256562030416,-0.171563499762065
"A_33_P3254331",-3.60055844155844,11.85666,-3.82930270490387,0.000222300339609777,0.00105531680656112,0.257521139472281,"CTRC","chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523]","A_33_P3254331",-3.60055844155844,0.00105531680656112,0.257521139472281
"A_33_P3219303",-3.58012337662337,12.62353,-4.00582316486459,0.000117739440470363,0.0006572090438326,0.848683896106131,"CEL","carboxyl ester lipase [Source:HGNC Symbol;Acc:HGNC:1848]","A_33_P3219303",-3.58012337662337,0.0006572090438326,0.848683896106131
"A_24_P190007",-3.48562987012987,12.10324,-3.4222718240366,0.000895581525931018,0.00306442547331303,-1.02854357619892,"GP2","glycoprotein 2 [Source:HGNC Symbol;Acc:HGNC:4441]","A_24_P190007",-3.48562987012987,0.00306442547331303,-1.02854357619892
"A_33_P3354646",-3.47167207792208,12.88004,-3.92664575656943,0.000156931367655209,0.000815177760784226,0.581113412211273,"PNLIPRP1","pancreatic lipase related protein 1 [Source:HGNC Symbol;Acc:HGNC:9156]","A_33_P3354646",-3.47167207792208,0.000815177760784226,0.581113412211273
"A_32_P234926",-3.38188636363636,6.77467,-4.57137677429592,0.0000136653748825822,0.000131680769819854,2.86722629136602,"BANF2","BANF family member 2 [Source:HGNC Symbol;Acc:HGNC:16172]","A_32_P234926",-3.38188636363636,0.000131680769819854,2.86722629136602
"A_23_P142856",-3.36311038961039,7.81087,-4.65134073789632,0.00000994261791365524,0.000104960820870126,3.16691505291208,"AQP12A","aquaporin 12A [Source:HGNC Symbol;Acc:HGNC:19941]","A_23_P142856",-3.36311038961039,0.000104960820870126,3.16691505291208
"A_23_P142856",-3.36311038961039,7.81087,-4.65134073789632,0.00000994261791365524,0.000104960820870126,3.16691505291208,"AQP12B","aquaporin 12B [Source:HGNC Symbol;Acc:HGNC:6096]","A_23_P142856",-3.36311038961039,0.000104960820870126,3.16691505291208
