"Clinicopathological_Group","Gene_Count","Symbol","Gene_Description"
"Tumor_vs_Normal_Pos",726,"HSBP1","heat shock factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5203]"
"Tumor_vs_Normal_Pos",726,"TBCD","tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]"
"Tumor_vs_Normal_Pos",726,"MDH1","malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]"
"Tumor_vs_Normal_Pos",726,"NUP35","nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797]"
"Tumor_vs_Normal_Pos",726,"RGS8","regulator of G protein signaling 8 [Source:HGNC Symbol;Acc:HGNC:16810]"
"Tumor_vs_Normal_Pos",726,"R3HDM2","R3H domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29167]"
"Tumor_vs_Normal_Pos",726,"TMX2","thioredoxin related transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30739]"
"Tumor_vs_Normal_Pos",726,"ATP9B","ATPase phospholipid transporting 9B (putative) [Source:HGNC Symbol;Acc:HGNC:13541]"
"Tumor_vs_Normal_Pos",726,"CCT2","chaperonin containing TCP1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:1615]"
"Tumor_vs_Normal_Pos",726,"KIAA0586","KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]"
"Tumor_vs_Normal_Pos",726,"NDN","necdin, MAGE family member [Source:HGNC Symbol;Acc:HGNC:7675]"
"Tumor_vs_Normal_Pos",726,"DDX28","DEAD-box helicase 28 [Source:HGNC Symbol;Acc:HGNC:17330]"
"Tumor_vs_Normal_Pos",726,"FUS","FUS RNA binding protein [Source:HGNC Symbol;Acc:HGNC:4010]"
"Tumor_vs_Normal_Pos",726,"CEP76","centrosomal protein 76 [Source:HGNC Symbol;Acc:HGNC:25727]"
"Tumor_vs_Normal_Pos",726,"ZNF146","zinc finger protein 146 [Source:HGNC Symbol;Acc:HGNC:12931]"
"Tumor_vs_Normal_Pos",726,"OSBPL6","oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388]"
"Tumor_vs_Normal_Pos",726,"HPS4","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2 [Source:HGNC Symbol;Acc:HGNC:15844]"
"Tumor_vs_Normal_Pos",726,"ATG5","autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]"
"Tumor_vs_Normal_Pos",726,"COL15A1","collagen type XV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2192]"
"Tumor_vs_Normal_Pos",726,"NACC2","NACC family member 2 [Source:HGNC Symbol;Acc:HGNC:23846]"
"Tumor_vs_Normal_Pos",726,"ARHGEF16","Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]"
"Tumor_vs_Normal_Pos",726,"IFT46","intraflagellar transport 46 [Source:HGNC Symbol;Acc:HGNC:26146]"
"Tumor_vs_Normal_Pos",726,"A2M","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]"
"Tumor_vs_Normal_Pos",726,"RCBTB1","RCC1 and BTB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:18243]"
"Tumor_vs_Normal_Pos",726,"ZBTB7B","zinc finger and BTB domain containing 7B [Source:HGNC Symbol;Acc:HGNC:18668]"
"Tumor_vs_Normal_Pos",726,"FAM181A","family with sequence similarity 181 member A [Source:HGNC Symbol;Acc:HGNC:20491]"
"Tumor_vs_Normal_Pos",726,"DPH1","diphthamide biosynthesis 1 [Source:HGNC Symbol;Acc:HGNC:3003]"
"Tumor_vs_Normal_Pos",726,"OVCA2","OVCA2 serine hydrolase domain containing [Source:HGNC Symbol;Acc:HGNC:24203]"
"Tumor_vs_Normal_Pos",726,"MCM3AP","minichromosome maintenance complex component 3 associated protein [Source:HGNC Symbol;Acc:HGNC:6946]"
"Tumor_vs_Normal_Pos",726,"GBE1","1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]"
"Tumor_vs_Normal_Pos",726,"HESX1","HESX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4877]"
"Tumor_vs_Normal_Pos",726,"GPR87","G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:HGNC:4538]"
"Tumor_vs_Normal_Pos",726,"TMEM89","transmembrane protein 89 [Source:HGNC Symbol;Acc:HGNC:32372]"
"Tumor_vs_Normal_Pos",726,"TRAPPC13","trafficking protein particle complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:25828]"
"Tumor_vs_Normal_Pos",726,"POU4F3","POU class 4 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9220]"
"Tumor_vs_Normal_Pos",726,"MACIR","macrophage immunometabolism regulator [Source:HGNC Symbol;Acc:HGNC:25052]"
"Tumor_vs_Normal_Pos",726,"PPP2CA","protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]"
"Tumor_vs_Normal_Pos",726,"GLDC","glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]"
"Tumor_vs_Normal_Pos",726,"NEK1","NIMA related kinase 1 [Source:HGNC Symbol;Acc:HGNC:7744]"
"Tumor_vs_Normal_Pos",726,"TP53BP2","tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000]"
"Tumor_vs_Normal_Pos",726,"ADAM30","ADAM metallopeptidase domain 30 [Source:HGNC Symbol;Acc:HGNC:208]"
"Tumor_vs_Normal_Pos",726,"PRAMEF8","PRAME family member 8 [Source:HGNC Symbol;Acc:HGNC:24074]"
"Tumor_vs_Normal_Pos",726,"PRAMEF7","PRAME family member 7 [Source:HGNC Symbol;Acc:HGNC:28415]"
"Tumor_vs_Normal_Pos",726,"SAR1A","secretion associated Ras related GTPase 1A [Source:HGNC Symbol;Acc:HGNC:10534]"
"Tumor_vs_Normal_Pos",726,"KLRC3","killer cell lectin like receptor C3 [Source:HGNC Symbol;Acc:HGNC:6376]"
"Tumor_vs_Normal_Pos",726,"VPS9D1","VPS9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13526]"
"Tumor_vs_Normal_Pos",726,"VASN","vasorin [Source:HGNC Symbol;Acc:HGNC:18517]"
"Tumor_vs_Normal_Pos",726,"LRRTM1","leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]"
"Tumor_vs_Normal_Pos",726,"NDUFS1","NADH:ubiquinone oxidoreductase core subunit S1 [Source:HGNC Symbol;Acc:HGNC:7707]"
"Tumor_vs_Normal_Pos",726,"MAPRE3","microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]"
"Tumor_vs_Normal_Pos",726,"RTN4R","reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]"
"Tumor_vs_Normal_Pos",726,"OR1S2","olfactory receptor family 1 subfamily S member 2 [Source:HGNC Symbol;Acc:HGNC:15141]"
"Tumor_vs_Normal_Pos",726,"TCERG1","transcription elongation regulator 1 [Source:HGNC Symbol;Acc:HGNC:15630]"
"Tumor_vs_Normal_Pos",726,"ZBTB24","zinc finger and BTB domain containing 24 [Source:HGNC Symbol;Acc:HGNC:21143]"
"Tumor_vs_Normal_Pos",726,"GARIN1B","golgi associated RAB2 interactor 1B [Source:HGNC Symbol;Acc:HGNC:30704]"
"Tumor_vs_Normal_Pos",726,"PHF14","PHD finger protein 14 [Source:HGNC Symbol;Acc:HGNC:22203]"
"Tumor_vs_Normal_Pos",726,"HARBI1","harbinger transposase derived 1 [Source:HGNC Symbol;Acc:HGNC:26522]"
"Tumor_vs_Normal_Pos",726,"CHRDL2","chordin like 2 [Source:HGNC Symbol;Acc:HGNC:24168]"
"Tumor_vs_Normal_Pos",726,"ST3GAL5","ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]"
"Tumor_vs_Normal_Pos",726,"ZBTB39","zinc finger and BTB domain containing 39 [Source:HGNC Symbol;Acc:HGNC:29014]"
"Tumor_vs_Normal_Pos",726,"RNF11","ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]"
"Tumor_vs_Normal_Pos",726,"NOC2L","NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]"
"Tumor_vs_Normal_Pos",726,"SS18","SS18 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:11340]"
"Tumor_vs_Normal_Pos",726,"PVR","PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]"
"Tumor_vs_Normal_Pos",726,"TSPAN16","tetraspanin 16 [Source:HGNC Symbol;Acc:HGNC:30725]"
"Tumor_vs_Normal_Pos",726,"ZNF101","zinc finger protein 101 [Source:HGNC Symbol;Acc:HGNC:12881]"
"Tumor_vs_Normal_Pos",726,"RND3","Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]"
"Tumor_vs_Normal_Pos",726,"TCF7L1","transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]"
