"MatchID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Gene_Description","SPOT_ID","logFC_Tumor_vs_Normal_Pos","adjP_Tumor_vs_Normal_Pos","B_Tumor_vs_Normal_Pos"
"A_33_P3240333",3.36285714285714,9.11401,9.56367908685547,0.000000000000000767100847505085,0.0000000000195810162334148,25.506674501891,"PITX1","paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]","A_33_P3240333",3.36285714285714,0.0000000000195810162334148,25.506674501891
"A_23_P102122",1.18228571428572,13.33642,8.92557384326911,0.0000000000000196252168539129,0.000000000108273653222073,22.3791129795316,"ARPC2","actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]","A_23_P102122",1.18228571428572,0.000000000108273653222073,22.3791129795316
"A_23_P106371",-1.45985714285714,10.24377,-8.73727234306191,0.0000000000000509004089424458,0.000000000108273653222073,21.4593805854284,"GOLGA6C","golgin A6 family member C [Source:HGNC Symbol;Acc:HGNC:32206]","A_23_P106371",-1.45985714285714,0.000000000108273653222073,21.4593805854284
"A_23_P106371",-1.45985714285714,10.24377,-8.73727234306191,0.0000000000000509004089424458,0.000000000108273653222073,21.4593805854284,"GOLGA6A","golgin A6 family member A [Source:HGNC Symbol;Acc:HGNC:13567]","A_23_P106371",-1.45985714285714,0.000000000108273653222073,21.4593805854284
"A_23_P106371",-1.45985714285714,10.24377,-8.73727234306191,0.0000000000000509004089424458,0.000000000108273653222073,21.4593805854284,"GOLGA6B","golgin A6 family member B [Source:HGNC Symbol;Acc:HGNC:32205]","A_23_P106371",-1.45985714285714,0.000000000108273653222073,21.4593805854284
"A_23_P106371",-1.45985714285714,10.24377,-8.73727234306191,0.0000000000000509004089424458,0.000000000108273653222073,21.4593805854284,"GOLGA6D","golgin A6 family member D [Source:HGNC Symbol;Acc:HGNC:32204]","A_23_P106371",-1.45985714285714,0.000000000108273653222073,21.4593805854284
"A_23_P115872",2.61917857142857,5.28322,8.78545336649501,0.0000000000000398939470312788,0.000000000108273653222073,21.6945161378818,"CEP55","centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]","A_23_P115872",2.61917857142857,0.000000000108273653222073,21.6945161378818
"A_23_P126593",2.04435714285715,12.49627,8.74832968825045,0.0000000000000481330446171394,0.000000000108273653222073,21.5133303188777,"S100A11","S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]","A_23_P126593",2.04435714285715,0.000000000108273653222073,21.5133303188777
"A_23_P149678",0.933071428571431,8.09904,8.77815344636044,0.0000000000000413945600419146,0.000000000108273653222073,21.6588814132159,"PIAS3","protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]","A_23_P149678",0.933071428571431,0.000000000108273653222073,21.6588814132159
"A_23_P351757",2.08175,8.3343,8.78410834415737,0.0000000000000401663001130651,0.000000000108273653222073,21.6879501366676,"PLCD3","phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]","A_23_P351757",2.08175,0.000000000108273653222073,21.6879501366676
