"MatchID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Gene_Description","SPOT_ID","logFC_Extreme_Contrast","adjP_Extreme_Contrast","B_Extreme_Contrast"
"A_23_P149678",1.06474675324675,8.09904,9.39671245960798,0.00000000000000179400901647104,0.0000000000457938741544399,24.614784174556,"PIAS3","protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]","A_23_P149678",1.06474675324675,0.0000000000457938741544399,24.614784174556
"A_24_P236935",4.11270454545455,7.91883,8.20455787409772,0.000000000000743489376892227,0.00000000403608285593938,18.8372065332284,"KLK6","kallikrein related peptidase 6 [Source:HGNC Symbol;Acc:HGNC:6367]","A_24_P236935",4.11270454545455,0.00000000403608285593938,18.8372065332284
"A_24_P379233",3.04610064935065,5.47702,8.23312337610205,0.000000000000644348968510682,0.00000000403608285593938,18.9744668165517,"GJB3","gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]","A_24_P379233",3.04610064935065,0.00000000403608285593938,18.9744668165517
"A_33_P3355503",2.26541883116883,5.63226,8.13985398965206,0.0000000000010278194084897,0.00000000437268637018469,18.5266088950494,"FOXL1","forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]","A_33_P3355503",2.26541883116883,0.00000000437268637018469,18.5266088950494
"A_23_P214144",3.90482467532468,11.76627,7.99750986688671,0.00000000000209210677881092,0.00000000622716569456043,17.8449334290538,"COL10A1","collagen type X alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2185]","A_23_P214144",3.90482467532468,0.00000000622716569456043,17.8449334290538
"A_23_P58266",4.53921428571428,8.13584,7.94526954902291,0.00000000000271391028607128,0.00000000692752739622554,17.5953540447157,"S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]","A_23_P58266",4.53921428571428,0.00000000692752739622554,17.5953540447157
"A_23_P203267",4.04178896103896,6.50787,7.91226448722543,0.00000000000319828468291252,0.00000000707910538633071,17.4378456968236,"TRIM29","tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]","A_23_P203267",4.04178896103896,0.00000000707910538633071,17.4378456968236
"A_23_P115872",2.49661363636364,5.28322,7.85582396724665,0.00000000000423385795103129,0.00000000771953271843033,17.1688205083573,"CEP55","centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]","A_23_P115872",2.49661363636364,0.00000000771953271843033,17.1688205083573
"A_32_P55241",2.36819155844156,4.92576,7.77808579368977,0.00000000000622606387477393,0.00000000950388235467724,16.7989728470587,"SHISA2","shisa family member 2 [Source:HGNC Symbol;Acc:HGNC:20366]","A_32_P55241",2.36819155844156,0.00000000950388235467724,16.7989728470587
"A_33_P3268507",3.66550974025974,11.91345,7.77476145695714,0.00000000000632946799457467,0.00000000950388235467724,16.7831754302589,"CEACAM1","CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]","A_33_P3268507",3.66550974025974,0.00000000950388235467724,16.7831754302589
"A_23_P112859",4.85958441558442,10.28312,7.74907662980814,0.00000000000718811618806586,0.00000000965704493771416,16.6611721059564,"CST1","cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]","A_23_P112859",4.85958441558442,0.00000000965704493771416,16.6611721059564
"A_24_P332647",1.32600324675325,7.80719,7.73829169614134,0.00000000000758230102865278,0.00000000967729080286954,16.6099713407424,"SSH1","slingshot protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30579]","A_24_P332647",1.32600324675325,0.00000000967729080286954,16.6099713407424
"A_24_P237175",4.94744155844156,10.20878,7.6960678604642,0.00000000000934338302909617,0.0000000113571045333671,16.4096775567039,"CST2","cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]","A_24_P237175",4.94744155844156,0.0000000113571045333671,16.4096775567039
"A_23_P208788",2.86591558441559,8.23294,7.66961171195825,0.0000000000106482175503051,0.0000000114022545489401,16.2843126890659,"C19orf33","chromosome 19 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:16668]","A_23_P208788",2.86591558441559,0.0000000114022545489401,16.2843126890659
"A_24_P314571",1.34059415584415,6.49994,7.68450559920892,0.00000000000989285139672536,0.0000000114022545489401,16.3548759789921,"SPC24","SPC24 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:26913]","A_24_P314571",1.34059415584415,0.0000000114022545489401,16.3548759789921
"A_33_P3240333",2.87433766233766,9.11401,7.66824001543566,0.0000000000107206028823381,0.0000000114022545489401,16.2778156161611,"PITX1","paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]","A_33_P3240333",2.87433766233766,0.0000000114022545489401,16.2778156161611
"A_23_P116235",1.96663311688311,10.2293,7.59703842436172,0.0000000000152325793876078,0.0000000134521855609132,15.9409595091826,"MDK","midkine [Source:HGNC Symbol;Acc:HGNC:6972]","A_23_P116235",1.96663311688311,0.0000000134521855609132,15.9409595091826
"A_23_P43476",-1.74915584415584,9.27441,-7.61544884638058,0.0000000000139110792559652,0.0000000134521855609132,16.0279850329098,"VLDLR","very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]","A_23_P43476",-1.74915584415584,0.0000000134521855609132,16.0279850329098
"A_33_P3216610",4.27338961038961,7.25789,7.58874540657166,0.0000000000158678957090691,0.0000000134521855609132,15.9017759196953,"TMPRSS4","transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]","A_33_P3216610",4.27338961038961,0.0000000134521855609132,15.9017759196953
"A_33_P3222380",2.51477597402598,11.75733,7.58358502933624,0.0000000000162764396485866,0.0000000134521855609132,15.8773991560689,"AHNAK2","AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]","A_33_P3222380",2.51477597402598,0.0000000134521855609132,15.8773991560689
"A_33_P3297978",1.5272564935065,9.65479,7.60669524231447,0.0000000000145245687677981,0.0000000134521855609132,15.9866004386818,"MYO1E","myosin IE [Source:HGNC Symbol;Acc:HGNC:7599]","A_33_P3297978",1.5272564935065,0.0000000134521855609132,15.9866004386818
"A_33_P3358469",1.93115584415585,8.68317,7.60943516707812,0.0000000000143297077405543,0.0000000134521855609132,15.9995527609712,"GLI2","GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]","A_33_P3358469",1.93115584415585,0.0000000134521855609132,15.9995527609712
"A_23_P102117",2.12292532467533,6.27837,7.54910284749458,0.0000000000192877953675775,0.0000000146421176501414,15.7146193505634,"WNT10A","Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]","A_23_P102117",2.12292532467533,0.0000000146421176501414,15.7146193505634
"A_33_P3338121",2.82358441558442,8.48691,7.54163237545109,0.0000000000200098333483493,0.0000000146421176501414,15.6793786054869,"LAMB3","laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]","A_33_P3338121",2.82358441558442,0.0000000146421176501414,15.6793786054869
"A_23_P215956",-1.75861038961039,11.47566,-7.50751837510454,0.000000000023663464095249,0.0000000158956206446139,15.5185664923231,"MYC","MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]","A_23_P215956",-1.75861038961039,0.0000000158956206446139,15.5185664923231
"A_23_P126593",1.86116558441558,12.49627,7.47127501158776,0.0000000000282726809424851,0.000000018504832147125,15.3479268662975,"S100A11","S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]","A_23_P126593",1.86116558441558,0.000000018504832147125,15.3479268662975
"A_24_P87036",2.41795454545454,10.57136,7.41581381224158,0.0000000000371064041805969,0.0000000227304479971373,15.0872362478637,"ANO1","anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]","A_24_P87036",2.41795454545454,0.0000000227304479971373,15.0872362478637
"A_33_P3230548",2.36562012987013,5.53297,7.40011173819866,0.000000000040071697871628,0.0000000227304479971373,15.0135263604516,"KIF14","kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]","A_33_P3230548",2.36562012987013,0.0000000227304479971373,15.0135263604516
"A_24_P20630",3.03990909090909,6.53761,7.37284722712303,0.0000000000457897104174985,0.0000000254093075677623,14.8856421171722,"LEF1","lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]","A_24_P20630",3.03990909090909,0.0000000254093075677623,14.8856421171722
"A_23_P305550",2.72354545454545,7.03351,7.33097368295491,0.0000000000561856578456999,0.0000000292692877993742,14.6894926190526,"CAPN10","calpain 10 [Source:HGNC Symbol;Acc:HGNC:1477]","A_23_P305550",2.72354545454545,0.0000000292692877993742,14.6894926190526
"A_23_P305550",2.72354545454545,7.03351,7.33097368295491,0.0000000000561856578456999,0.0000000292692877993742,14.6894926190526,"GPR35","G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492]","A_23_P305550",2.72354545454545,0.0000000292692877993742,14.6894926190526
"A_24_P149124",2.07192207792208,9.28341,7.3365210329161,0.000000000054684179114871,0.0000000292692877993742,14.7154600339112,"NREP","neuronal regeneration related protein [Source:HGNC Symbol;Acc:HGNC:16834]","A_24_P149124",2.07192207792208,0.0000000292692877993742,14.7154600339112
"A_23_P201636",3.21123701298701,7.91905,7.3181343654901,0.0000000000598195665608548,0.0000000295225391157856,14.6294126904354,"LAMC2","laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]","A_23_P201636",3.21123701298701,0.0000000295225391157856,14.6294126904354
