"MatchID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Gene_Description","SPOT_ID","logFC_Reverse_Contrast","adjP_Reverse_Contrast","B_Reverse_Contrast"
"A_33_P3240333",3.63574675324675,9.11401,9.69954890983921,0.000000000000000384093953662306,0.00000000000980438226118403,26.1441165850068,"PITX1","paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]","A_33_P3240333",3.63574675324675,0.00000000000980438226118403,26.1441165850068
"A_24_P84396",4.49238311688312,6.83688,9.41752436960296,0.00000000000000161379648243372,0.0000000000205968845053016,24.7635095824685,"CEMIP","cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]","A_24_P84396",4.49238311688312,0.0000000000205968845053016,24.7635095824685
"A_23_P357546",1.6572564935065,8.78811,9.31907392936394,0.00000000000000266250410250486,0.0000000000226543599068464,24.2818263719807,"PNKD","PNKD metallo-beta-lactamase domain containing [Source:HGNC Symbol;Acc:HGNC:9153]","A_23_P357546",1.6572564935065,0.0000000000226543599068464,24.2818263719807
"A_33_P3342752",5.08104220779221,8.12119,9.03613996872243,0.0000000000000112037672228938,0.0000000000476645603552645,22.8990271588498,"CAPN8","calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]","A_33_P3342752",5.08104220779221,0.0000000000476645603552645,22.8990271588498
"A_24_P379233",3.26315584415585,5.47702,8.81978888849606,0.0000000000000335320094022059,0.000000000106992259000088,21.8438414792803,"GJB3","gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]","A_24_P379233",3.26315584415585,0.000000000106992259000088,21.8438414792803
"A_23_P159709",2.83676948051948,8.54733,8.71308557507214,0.0000000000000575193436403961,0.000000000163137640640528,21.3243685010232,"FOXP3","forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106]","A_23_P159709",2.83676948051948,0.000000000163137640640528,21.3243685010232
"A_23_P126593",2.14096428571429,12.49627,8.59447063845303,0.000000000000104693631627473,0.000000000267240964092288,20.7477744172295,"S100A11","S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]","A_23_P126593",2.14096428571429,0.000000000267240964092288,20.7477744172295
"A_23_P102122",1.20656818181818,13.33642,8.54489853021317,0.000000000000134426751327234,0.000000000278431891245549,20.5071009237207,"ARPC2","actin related protein 2/3 complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:705]","A_23_P102122",1.20656818181818,0.000000000278431891245549,20.5071009237207
"A_23_P203267",4.35954220779221,6.50787,8.5343028356453,0.000000000000141801088544705,0.000000000278431891245549,20.4556829551508,"TRIM29","tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]","A_23_P203267",4.35954220779221,0.000000000278431891245549,20.4556829551508
"A_23_P351757",2.15971428571429,8.3343,8.54883131138525,0.000000000000131787999561908,0.000000000278431891245549,20.5261878335034,"PLCD3","phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]","A_23_P351757",2.15971428571429,0.000000000278431891245549,20.5261878335034
"A_33_P3338121",3.18851623376623,8.48691,8.51634437614139,0.000000000000155231974907789,0.00000000028303224224973,20.3685556017908,"LAMB3","laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]","A_33_P3338121",3.18851623376623,0.00000000028303224224973,20.3685556017908
"A_23_P106371",-1.50456818181818,10.24377,-8.44731565878962,0.000000000000219754228334969,0.000000000373963095498561,20.0338980758545,"GOLGA6C","golgin A6 family member C [Source:HGNC Symbol;Acc:HGNC:32206]","A_23_P106371",-1.50456818181818,0.000000000373963095498561,20.0338980758545
"A_23_P106371",-1.50456818181818,10.24377,-8.44731565878962,0.000000000000219754228334969,0.000000000373963095498561,20.0338980758545,"GOLGA6B","golgin A6 family member B [Source:HGNC Symbol;Acc:HGNC:32205]","A_23_P106371",-1.50456818181818,0.000000000373963095498561,20.0338980758545
"A_23_P106371",-1.50456818181818,10.24377,-8.44731565878962,0.000000000000219754228334969,0.000000000373963095498561,20.0338980758545,"GOLGA6A","golgin A6 family member A [Source:HGNC Symbol;Acc:HGNC:13567]","A_23_P106371",-1.50456818181818,0.000000000373963095498561,20.0338980758545
"A_23_P106371",-1.50456818181818,10.24377,-8.44731565878962,0.000000000000219754228334969,0.000000000373963095498561,20.0338980758545,"GOLGA6D","golgin A6 family member D [Source:HGNC Symbol;Acc:HGNC:32204]","A_23_P106371",-1.50456818181818,0.000000000373963095498561,20.0338980758545
"A_23_P58266",4.80886038961039,8.13584,8.41724792313072,0.000000000000255643032899618,0.000000000393055856117398,19.8882518093767,"S100P","S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]","A_23_P58266",4.80886038961039,0.000000000393055856117398,19.8882518093767
"A_33_P3230548",2.68926623376624,5.53297,8.4125385865428,0.00000000000026177033432562,0.000000000393055856117398,19.8654471562978,"KIF14","kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]","A_33_P3230548",2.68926623376624,0.000000000393055856117398,19.8654471562978
"A_23_P145863",2.03662987012988,11.9337,8.35199151724655,0.000000000000354888219623371,0.000000000503270927450342,19.5724278100292,"S100A11P2","S100A11 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37840]","A_23_P145863",2.03662987012988,0.000000000503270927450342,19.5724278100292
"A_23_P145863",2.03662987012988,11.9337,8.35199151724655,0.000000000000354888219623371,0.000000000503270927450342,19.5724278100292,"S100A11P1","S100A11 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10491]","A_23_P145863",2.03662987012988,0.000000000503270927450342,19.5724278100292
